성별,측정일자,키,몸무게,머리둘레,희망치수머리,목둘레,화장,젖가슴둘레,배꼽수준허리둘레,엉덩이둘레,샅높이,발길이,발폭,희망치수신발,몸무게(오른쪽),몸무게(왼쪽),윗가슴둘레(겨드랑이),허리둘레(윗허리),어깨가쪽사이길이,팔길이,등길이,다리가쪽길이,총장
남,2021-06-16,169.2,55.6,54.1,0,34.7,60.3,86.4,67.5,89.1,77,0,0,260,,,86.8,70.8,40.5,39.4,32.5,99.5,142
남,2021-06-16,182.7,66.6,55.8,0,36.3,87.5,90.6,75.7,93.9,84.5,0,0,280,,,95.9,75.2,54.9,61.9,37.5,106,153.5
남,2021-06-16,177.7,79.7,58.5,0,38.3,77,98.6,85.2,104.3,80,0,0,270,,,104.7,85.8,57.4,50.6,38,102,150
남,2021-06-16,171.3,69.4,56.3,0,37,77,93.9,78.5,96.6,76.5,0,0,270,,,94.7,80.5,54.2,50.9,35.5,99,144.5
남,2021-06-16,173.8,63.9,55.5,0,36.1,62.3,89.9,74.2,93.1,77.5,0,0,265,,,89.6,75,47.5,39.6,28.5,108,146.5
남,2021-06-16,171.7,81.5,58.9,0,39.2,0,100.7,0,102.9,76,0,0,265,,,0,90.2,0,55.3,39,98.8,147.8
남,2021-06-16,170.6,65,57.6,0,36.6,75.7,88.6,76.9,97.2,77.6,0,0,260,,,96.7,0,53.4,54,45.9,44.5,147.4
남,2021-06-16,177.9,85.6,60.2,0,39.3,82.8,102.4,95.3,106.4,82,0,0,270,,,105.5,91.2,57.9,55.5,34.5,107,151.5
남,2021-06-16,171.3,65,58.6,0,41.9,79.8,105,92.6,108.4,81.2,0,0,265,,,110.9,0,58.1,56.1,44.3,48.4,150.4
남,2021-06-16,177,92,59,0,39.9,86,105.7,90.2,108.9,79,0,0,0,,,113.9,95.5,65.4,53.7,38,103.5,151.5
남,2021-06-16,185.2,65.5,52.7,0,36.3,71.5,89.2,74.7,93.5,83.5,0,0,270,,,88.1,73.3,58.6,43.5,42.5,103,155.5
남,2021-06-16,185,76.8,60,0,37.4,83.6,95.6,84.2,94.5,85,0,0,275,,,100.8,80.8,55.7,57.4,43.5,105,158.5
남,2021-06-16,167.3,71.6,59.5,0,37.5,73.9,95.6,83.3,100.1,72.5,0,0,265,,,94.3,83.8,52.8,47.9,38,92,140
남,2021-06-16,170.4,65,57.5,0,42.8,77.4,93.3,84.3,105.3,77.9,0,0,260,,,101.5,0,55.6,54.7,43.5,46.3,146.6
남,2021-06-16,182.6,65,58.5,0,39.5,81.8,99,91.4,104.8,84.6,0,0,275,,,103.4,0,55.6,59.3,47,46.3,159
남,2021-06-16,177.3,65,58,0,41.8,84.6,98.2,83.8,101,83.4,0,0,260,,,106,0,62.5,59.1,45.1,52.1,154.2
남,2021-06-16,169,65,57.9,0,39.6,79.6,99.3,85.9,98.4,78.5,0,0,265,,,105.4,0,56.5,56.6,44.6,47.1,147
남,2021-06-16,177.2,68.1,57.3,0,36.7,81.6,92.1,75,98.8,79.5,0,0,265,,,89.7,77.3,53.1,56,39.5,101.5,151
