키,몸무게,머리둘레,목둘레,화장,젖가슴둘레,배꼽수준허리둘레,엉덩이둘레,샅높이,희망치수신발,윗가슴둘레(겨드랑이),허리둘레(윗허리),어깨가쪽사이길이,팔길이,등길이,다리가쪽길이,총장,(초)전투복상의,(초)전투복하의,(초)야상외피,(초)야상내피,(초)병사반코트,(초)전투모,(초)게리슨모,(초)정모,(초)동운동복,(초)춘추운동복,(초)하운동복상의,(초)하운동복하의,(초)동내의,(초)춘추내의,(초)티셔츠(런닝),(초)삼각팬티,(초)사각팬티
163.4,48.9,55.4,33.6,61.3,85,73.7,91,76,230,85,66.6,44.7,39.3,34,92,136,85-W-164,75-164,85-164,85-164,90-165,56호,56호,56호,95,95,95,95,95,95,90,90,90
158.1,60.2,56,36.4,86.8,95.5,77.5,97,69.5,235,91,78,49.2,48.6,52,91,153,95-W-158,75-158,95-158,95-158,90-165,57호,57호,57호,95,95,95,95,95,95,95,95,95
165.9,54.9,52.4,34.7,81,83.6,68.2,92.3,78,250,86.2,71.4,46.6,58.4,23.5,105.5,139,85-W-164,70-164,85-164,85-164,90-165,53호,53호,53호,95,95,95,95,95,95,90,90,90
169.7,52.6,54.5,34.3,81.3,82.3,70.9,94.2,79,245,84.3,68.7,45.8,60.4,34,98,142,85-W-170,70-170,85-170,85-170,90-170,55호,55호,55호,95,95,95,95,95,95,90,95,95
171.8,72.4,57.7,37.5,74.9,100.4,85.5,99.8,79,240,100.4,82.9,49.5,52.5,35,100,145,100-W-170,85-170,95-164,95-164,100-170,58호,58호,58호,100,100,100,100,100,100,100,100,100
161.9,53.4,56,34.5,74.7,87.4,69.5,90.8,74.5,230,90.7,71.1,45.4,51.2,27,96.5,133.5,85-W-164,70-164,85-164,85-164,90-165,57호,57호,57호,95,95,95,95,95,95,90,90,90
156.4,49.3,52.1,33.4,55.5,2,73,92.3,71.5,230,2.6,70.2,18.7,56.6,40.6,89.5,140.1,80-W-158,75-158,80-158,80-158,90-165,53호,53호,53호,95,95,95,95,95,95,90,90,90
168.2,58.2,54.2,35.2,64.7,2,76.7,93.6,81.5,245,67.6,72.7,16.9,65.9,29.4,100.5,139.9,85-W-170,75-170,85-170,85-170,90-170,55호,55호,55호,95,95,95,95,95,95,90,95,95
158.9,76.8,57.2,39.4,75.7,103.1,97.7,109.7,71,245,103.1,89.6,54.1,49.7,30.5,92.5,133,105-W-170,100-158,95-158,95-158,105-165,58호,58호,58호,105,105,105,105,105,105,105,110,110
167.6,61.7,53.7,35.8,82.7,94.9,79.7,98.7,69,240,91.7,75.2,46.6,61,32.5,97,139.5,95-W-170,80-170,95-164,95-164,90-170,54호,54호,54호,95,95,95,95,95,95,95,100,100
157,57.6,57.6,36.2,72.7,85.9,78.6,93,75.5,240,89.1,76,46,51,32.5,89.5,132,85-W-158,80-158,85-158,85-158,90-165,58호,58호,58호,95,95,95,95,95,95,90,95,95
169.7,70.7,53.7,37.2,78.6,91.8,86.3,100.9,77.5,255,90.2,82.2,48.9,54.8,34.5,100.5,145,90-W-170,85-170,90-170,90-170,90-170,54호,54호,54호,95,95,95,95,95,95,90,100,100
171.6,72.6,55.2,37.5,78.6,93.4,85.5,105,77.5,250,93.9,83.2,46.6,56.2,31,103,144,95-W-170,85-170,95-164,95-164,95-170,56호,56호,56호,95,95,95,95,95,95,95,105,105
166.5,58.1,54.3,35.3,60.4,93,81.3,96.8,76.5,230,90.7,73.4,45.3,38.9,34.5,94,138.5,95-W-164,80-164,95-164,95-164,90-165,55호,55호,55호,95,95,95,95,95,95,95,95,95
160,50.5,50.9,33.9,75.9,77,72.5,91.9,73.5,225,79.7,69.1,41.2,56.5,32.5,91,133.5,80-W-158,70-158,80-158,80-158,90-165,52호,52호,52호,95,95,95,95,95,95,90,90,90
165,58.7,52.4,35.5,82.1,85.7,75.8,97.3,77,240,88.9,74.4,47.5,58.7,29,98.5,137.5,85-W-164,75-164,85-164,85-164,90-165,53호,53호,53호,95,95,95,95,95,95,90,95,95
168.7,81.1,57.2,39.2,84.7,106.7,96.9,107.6,78,255,105.9,90.9,56.7,57.7,30,104,144,105-W-170,95-170,95-164,95-164,105-170,58호,58호,58호,105,105,105,105,105,105,105,110,110
162.2,73.2,56,38.4,73.2,100.2,88.9,106.5,70.5,245,98.3,87.5,51.3,49.4,35,91,136,100-W-170,90-170,95-164,95-164,100-165,57호,57호,57호,100,100,100,100,100,100,100,105,105
162.2,59.7,56,35.9,72.8,90.2,73.4,96.7,76.5,240,94.8,76.8,51.4,49.3,26,99,135,90-W-164,75-164,90-164,90-164,95-165,57호,57호,57호,95,95,95,95,95,95,90,95,95
158.5,50.2,54.7,33.9,76.6,87.4,72.9,90.5,75.5,230,86.4,69.5,41.4,56.2,30.5,93.5,134,85-W-158,75-158,85-158,85-158,90-165,55호,55호,55호,95,95,95,95,95,95,90,90,90
167.7,60.8,52.6,35.6,76.9,86.5,69,99.2,80,245,87.7,74.5,48.8,53.2,26.5,105.5,142,85-W-170,70-170,85-170,85-170,90-170,53호,53호,53호,95,95,95,95,95,95,90,100,100
161.6,51.4,52.7,34.2,74.5,86.6,74.9,91.4,67.5,235,87.6,69.8,43,53.8,30,95.5,135.5,85-W-164,75-164,85-164,85-164,90-165,53호,53호,53호,95,95,95,95,95,95,90,90,90
164.6,54.3,53,34.5,82.1,83.8,70.9,91.2,72.5,245,84.3,71.2,44.9,60.8,27.5,99.5,137,85-W-164,70-164,85-164,85-164,90-165,54호,54호,54호,95,95,95,95,95,95,90,90,90
170.9,63.3,55.4,36,75.1,96.8,69.3,94.7,67,250,89.8,75.4,56,36.1,30,101,141,95-W-170,70-170,95-164,95-164,90-170,56호,56호,56호,95,95,95,95,95,95,95,95,95
166.9,61.6,55.5,35.8,0,88.3,76.7,103.3,78,230,89.5,75.6,0,150.9,27.9,102,139.9,90-W-164,75-164,90-164,90-164,90-165,56호,56호,56호,95,95,95,95,95,95,90,105,105
173.8,58.3,57.1,35.1,66.5,85.1,79.2,95.1,83,255,84.6,71.5,42.1,46,38,99,147,85-W-170,80-170,85-170,85-170,90-175,58호,58호,58호,95,95,95,95,95,95,90,95,95
